Order	ID	Especie	Locacion	Estatus2	Fecha_colecta	Estado	Municipio	Latitud	Longitud	Altitud	Cluster-Admix	Population	Subset
84	Tlalp_4	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
85	Tlalp_5	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Excluded
86	Tlalp_6	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
87	Tlalp_7	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
88	Tlalp_8	P. coccineus	Tlalpan	Wild	27/09/2015	CiudadMexico	Tlalpan	19.292935	-99.191807	2334	Wild-TMVB	Wild-TMVB-CDMX	Included
89	TrMar_1	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
90	TrMar_11	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Excluded
91	TrMar_12	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
92	TrMar_13	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
93	TrMar_14	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
94	TrMar_15	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Excluded
95	TrMar_16	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
96	TrMar_17	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Excluded
97	TrMar_18	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
98	TrMar_2	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
99	TrMar_3	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
100	TrMar_4	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
101	TrMar_5	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
102	TrMar_6	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
103	TrMar_8	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
104	TrMar_9	P. coccineus	TresMarias	Wild	2-Sep-15	EstadoMexico	Huitzilac	19.10016667	-99.20833333	3024	Wild-striatus	Wild-striatus	Included
105	XochPue_1	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Included
106	XochPue_2	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Included
107	XochPue_3	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Excluded
108	XochPue_4	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Excluded
109	XochPue_5c	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Included
110	XochPue_6	P. coccineus	XochPuebla	Cultivar	2014	Puebla	NA	NA	NA	NA	Cult-TMVB	Cult-TMVB	Excluded
111	bltl_01	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
112	bltl_02	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
113	bltl_03	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
114	bltl_04	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
115	bltl_05	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
116	bltl_06	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
117	bltl_07	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
118	bltl_08	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
119	bltl_09	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
120	bltl_10c	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
121	bltl_11	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Excluded
122	bltl_12	P. coccineus	BlancoTlaxcala	Cultivar	NA	NA	NA	NA	NA	NA	Cult-SMOCC	Cult-SMOCC-BlaTla	Included
123	cuil_01c	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
124	cuil_02	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
125	cuil_03	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
126	cuil_04	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
127	cuil_05	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
128	cuil_07	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
129	cuil_11	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
130	cuil_21	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
131	cuil_22	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
132	cuil_23c	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Excluded
133	cuil_24	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
134	cuil_25	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
135	cuil_26	P. coccineus	Cuilapam	Cultivar	1/12/2015	Oaxaca	Cuilapam	16.992662	-96.77859	1577	Cult-OV	Cult-OV	Included
136	duco_01	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
137	duco_02	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
138	duco_03	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
139	duco_04	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
140	duco_05	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
141	duco_06	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
142	duco_07	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Included
143	duco_09	P. coccineus	Durango	Cultivar	2015	Durango	Durango	NA	NA	NA	Cult-SMOCC	Cult-SMOCC	Excluded
144	edia_01	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
145	edia_02	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
146	edia_03	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
147	edia_04	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
148	edia_05	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
149	edia_06	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
150	edia_07	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
151	edia_08	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
152	edia_09	P. coccineus	EspinazoDiablo	Wild	25-Oct-15	Durango	Espinazo del Diablo	23.64005	-105.8248833	1422	Wild-SMOCC	Wild-SMOCC-EspDia	Included
