pop,V1,V2,V3,V4,V5,V6,V7,V8,V9
GonzalezLeon,0.971071,0.00001,0.00001,0.00001,0.028859,0.00001,0.00001,0.00001,0.00001
GonzalezLeon,0.986218,0.00001,0.00001,0.00001,0.013712,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.98778,0.00001,0.00001,0.01215,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.970018,0.00001,0.00001,0.010744,0.019178,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.999917,0.00001,0.00001,0.00001,0.00001,0.00001,0.000011,0.000011,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Oxchuc,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.000016,0.00001,0.999914,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Cuilapam,0.00001,0.00001,0.00001,0.99992,0.00001,0.00001,0.00001,0.00001,0.00001
Tlalancaneca,0.016654,0.00001,0.041235,0.033416,0.00001,0.833302,0.075352,0.00001,0.00001
Tlalancaneca,0.00001,0.00001,0.022167,0.006025,0.00001,0.830185,0.141573,0.00001,0.00001
Tlalancaneca,0.025629,0.00001,0.019745,0.066831,0.00001,0.854948,0.00001,0.032807,0.00001
Tlalancaneca,0.00001,0.00001,0.023173,0.00001,0.00001,0.976757,0.00001,0.00001,0.00001
Tlalancaneca,0.00001,0.00001,0.045518,0.024909,0.00001,0.810783,0.118739,0.00001,0.00001
Tlalancaneca,0.075374,0.00001,0.043716,0.00001,0.00001,0.771519,0.109341,0.00001,0.00001
Tlalancaneca,0.03475,0.00001,0.009852,0.00001,0.00001,0.847243,0.108105,0.00001,0.00001
